y,dep_delay,arr_delay,distance
360,-2,8,733
365,-3,16,502
387,-4,1,1416
405,1,-6,1620
420,-4,-23,997
420,-1,-7,1096
420,-1,1,1069
420,-1,-9,1068
465,-4,2,1010
469,-6,-11,1041
497,9,-13,2565
530,-11,-8,419
525,1,-27,1068
531,-3,19,1874
531,6,-25,2402
540,-1,-24,950
550,-2,-7,266
560,-3,-16,427
562,4,2,1028
580,-3,3,1035
580,-3,7,738
599,-13,-16,583
600,-5,11,2133
615,-5,11,541
623,-2,2,762
620,5,26,1389
641,3,-11,1068
655,-8,-6,1389
690,-5,-7,544
689,-2,-6,416
695,-3,-6,419
738,-1,-4,2565
749,-7,-6,1005
749,11,23,488
765,0,1,1990
747,37,56,533
779,5,12,264
780,10,5,1028
795,-1,2,529
795,5,-3,950
800,0,-11,2454
800,22,73,872
824,0,21,4963
884,-1,-2,212
895,-9,-22,1089
890,3,22,425
900,-6,-22,2475
899,-4,10,340
895,1,17,1504
900,11,11,762
820,105,125,937
930,-3,-14,1069
940,-2,-24,944
945,-6,-17,2475
885,64,136,1092
948,1,-8,1085
960,-6,10,589
960,-4,-2,335
960,-3,-29,1074
961,0,15,719
962,13,20,319
990,-3,-40,2586
986,8,21,1605
990,5,20,404
945,52,39,1029
999,10,26,746
1000,12,35,1389
1020,-5,3,1747
1030,-5,9,544
1020,7,6,2454
1039,-7,-19,1620
1020,12,6,1569
1038,11,-3,2565
1050,0,16,2153
1060,-1,-21,2454
1069,-4,34,228
1069,9,37,719
805,290,338,1134
1130,-7,2,888
1115,8,-7,1598
1140,-10,-9,228
1140,-2,-1,738
1140,-1,-47,1089
1149,1,40,748
1150,0,19,740
1155,-3,-19,950
1148,4,-15,2133
1150,16,43,1372
1195,7,-4,1096
1088,121,123,319
1228,-3,7,1504
1234,-1,-17,200
1210,27,34,416
1235,11,-29,213
1204,52,44,143
1240,41,43,937
1200,141,127,282
1044,379,456,1092
1439,-6,-20,1617
300,-2,13,529
375,-5,10,746
390,4,-4,733
425,-1,-5,502
390,35,29,1598
405,42,-4,2434
449,0,8,1080
457,-4,-30,2586
465,-8,6,1010
490,-10,-14,944
500,-3,8,740
490,15,23,762
520,-3,-3,431
537,2,-12,2454
559,-3,-1,187
570,-4,-16,2248
580,-2,-10,738
480,104,97,209
585,0,-17,733
584,17,46,708
599,21,14,2153
645,-2,7,963
650,-6,-14,1076
675,-6,-6,266
620,65,46,488
715,-8,-9,397
689,36,37,284
740,-4,-11,2475
738,2,-8,2565
755,-5,-7,427
758,-2,0,502
780,-7,-3,569
780,-3,2,746
795,-8,13,529
795,-3,4,445
779,34,45,264
895,-4,-10,541
883,21,14,200
890,37,46,427
930,1,2,1010
920,13,9,937
944,-1,9,419
820,128,130,319
960,-2,26,762
965,-3,8,963
959,6,10,762
970,-4,1,94
990,-3,6,509
1020,-2,7,872
1005,32,28,2475
1040,-1,6,740
1019,22,21,762
1050,-1,-3,762
985,67,69,762
1065,-5,15,1147
981,85,71,143
1080,-11,-13,187
980,102,107,2153
1090,-7,-22,1020
999,85,99,746
1050,40,35,2153
1110,-9,-15,419
1090,15,19,719
1065,48,55,950
1115,-1,-25,1598
1140,0,-18,292
1145,-3,-24,944
1128,27,25,1416
1165,-7,-5,1183
1149,12,28,1017
1140,22,-14,1089
1136,39,35,529
1160,34,28,733
1185,17,-33,2586
1200,2,24,733
1216,3,-11,404
1225,1,-8,1372
1215,12,15,1069
1235,1,-36,213
1260,-6,6,950
1245,19,7,1065
1205,71,58,301
1295,2,-16,1598
1305,0,32,1065
1165,140,130,1096
360,-7,6,228
375,-1,-1,541
420,-2,-2,1069
420,-2,-10,1076
445,-1,-18,2402
456,-3,3,209
