y,dep_delay,arr_delay,distance
360,-5,19,1065
360,-2,-2,1028
360,-2,7,2475
360,0,-7,1076
370,-4,-12,1085
390,-8,3,2133
390,-2,-3,1598
390,-2,29,2454
368,24,12,212
405,1,-7,2434
420,-5,-18,1096
490,-6,-13,944
485,0,10,541
490,4,17,762
500,0,-16,1598
510,-8,-2,419
515,-2,32,1620
535,1,-23,1023
500,43,50,764
560,-6,4,1372
555,2,-5,944
545,15,14,228
569,-3,-17,1608
568,-2,13,1726
595,-15,6,762
453,144,123,200
660,12,2,2586
685,-5,5,888
660,24,4,2586
705,-1,11,746
720,-3,-4,937
720,0,12,541
735,-4,10,529
719,23,43,820
780,-2,19,733
805,-8,-11,431
820,-4,8,319
809,21,11,282
851,-3,6,762
839,31,26,1023
890,-8,-27,944
885,0,19,762
897,-5,-18,1069
900,-4,17,733
917,-7,0,997
930,-8,3,2475
916,7,3,2454
895,32,27,301
930,0,-5,184
818,122,115,1598
950,0,13,665
960,-3,4,733
839,119,123,228
990,-4,15,2475
1020,-2,-32,290
1025,2,-12,746
995,36,33,541
1050,-14,-6,1620
1040,-1,3,431
1050,-5,3,529
1049,-3,-18,2586
1109,-4,3,509
1115,-3,-4,636
1135,-9,-19,1598
1065,63,78,2586
1135,15,15,544
1023,155,166,277
1139,50,44,2248
1170,22,6,2402
1185,12,-22,2586
1180,36,50,483
1220,-2,-10,1068
1115,109,91,2465
1240,27,-5,2475
1270,5,17,277
1040,285,246,1085
1305,26,28,301
1320,24,8,284
1319,30,49,1069
1439,43,36,1598
360,-4,0,762
360,2,-13,96
360,9,15,1065
360,10,19,963
360,12,11,1023
360,16,44,2475
390,-2,3,1010
375,14,11,212
390,-1,-4,2133
391,5,-9,2133
390,12,13,544
420,9,-8,2475
450,-2,9,1605
450,-1,-45,2422
435,15,0,1598
452,2,-9,200
450,15,32,1389
480,-8,-6,266
450,31,56,1372
495,-7,4,529
480,10,-6,1020
490,35,15,1029
524,2,-13,2425
531,3,-36,2402
540,-5,5,2475
515,20,22,711
540,-2,10,1089
540,-2,-25,1096
540,9,-5,4983
569,4,34,1065
602,-3,-7,1076
600,9,14,544
610,4,-12,719
620,3,0,1389
625,-1,-11,187
615,10,-6,1020
630,-5,4,431
615,16,0,200
569,64,63,583
675,-6,-3,502
690,-8,-23,944
691,13,11,1020
710,2,-7,1010
720,-7,-2,213
725,-9,0,1389
718,-2,15,1428
720,-1,-7,1076
765,5,-1,187
788,-2,-2,762
805,-5,8,431
795,8,9,1065
809,-2,-20,282
802,13,-2,116
720,101,107,762
851,-6,-6,762
860,0,4,1020
870,12,8,1080
900,-2,1,290
925,0,13,292
829,99,119,569
930,0,-11,2586
960,-4,-4,1074
960,-2,63,589
960,-2,3,733
960,4,4,1069
950,25,15,665
999,14,4,200
1020,-3,-12,1521
1020,14,12,746
955,79,82,711
1045,15,5,937
1023,67,85,277
1109,0,-15,2227
1140,-6,8,228
1140,-4,12,2475
1139,-2,-7,944
1140,-3,-1,1598
1116,24,28,301
1149,-4,7,748
1100,47,32,733
1150,-2,-25,2565
1139,12,-14,2521
1070,103,102,937
1180,-7,-18,483
1175,5,20,425
1180,8,12,1076
1200,-1,-18,502
1169,32,84,1215
1195,9,2,1085
1185,21,20,1076
1230,-2,-18,1069
1170,75,82,631
1270,9,4,277
912,379,359,1620
1365,-4,-15,264
1375,8,11,301
1305,185,172,301
360,-4,2,1076
390,-2,20,529
420,-5,4,1096
435,-3,8,1069
450,0,-46,2475
449,2,7,1400
465,-3,-17,719
475,-6,-13,569
475,2,-22,1620
507,0,15,1035
514,-2,-2,416
540,-3,1,502
543,-2,-35,2227
540,11,39,1416
594,4,6,937
605,-5,-48,2248
615,2,-3,529
645,-4,7,963
660,4,-39,2586
690,-4,9,937
687,-1,-23,1605
689,-1,23,1074
720,-8,-18,200
710,3,13,1400
718,-2,20,1428
700,17,41,1076
683,38,45,1069
694,30,40,416
770,-8,0,950
780,-10,-20,94
780,-10,5,479
780,-7,-17,733
782,4,-14,200
757,30,38,1085
749,40,67,1005
675,126,113,335
810,-4,16,946
800,18,7,212
851,-2,1,762
821,37,31,4963
875,-7,-20,229
870,23,-21,2586
895,-1,31,1065
900,7,-9,733
906,19,-18,2454
930,3,8,1065
933,6,2,1074
940,7,-15,2475
962,-11,-23,229
960,-6,4,1089
959,-3,10,642
960,0,-27,1626
970,-3,-25,733
985,-1,-4,762
976,21,16,533
995,15,17,746
1015,-4,-13,1521
1010,7,-10,872
1030,-6,-11,544
1030,3,-5,872
1050,-10,5,762
999,48,41,200
1045,12,21,937
1054,7,4,266
1065,9,1,1389
950,128,110,1598
1065,19,20,725
1090,-4,-56,2465
1090,-2,-37,2227
1080,11,14,541
1107,0,-12,1605
940,174,176,1008
1140,-3,-61,2586
1145,19,-27,2565
1125,48,30,1182
1130,56,62,944
1200,-3,-13,404
1215,0,-14,187
1120,102,80,502
1200,24,23,631
1230,12,-1,1065
1289,-2,-2,80
1315,-1,9,944
1319,-4,-8,1069
1200,177,141,589
360,-7,-13,762
361,-4,-14,725
390,-1,7,529
400,-1,-1,642
395,4,-24,1389
400,1,-1,187
420,-9,-1,1076
420,0,-44,2475
445,0,1,2402
450,-2,-36,2475
455,-2,3,264
465,7,-12,733
475,-1,-34,1620
480,-4,-15,1089
