y,dep_delay,arr_delay,distance
315,2,11,1400
360,-3,-8,944
359,0,-4,187
360,-1,-8,2227
390,-3,0,2153
407,-2,5,301
420,-7,-33,1035
415,0,-9,1990
465,0,10,2586
466,0,-10,2565
479,-5,-2,762
520,11,9,2425
525,8,2,1005
523,23,9,1605
548,0,9,1400
558,-5,-30,1634
560,-3,28,1389
585,-4,2,2475
600,5,5,1605
630,-4,11,2475
630,1,-11,1065
650,-3,-9,1990
660,-1,-5,213
643,18,13,1023
584,96,78,708
689,-1,-15,997
683,30,29,1069
725,-2,24,746
729,-3,-3,282
740,0,23,711
744,4,27,2133
765,7,34,1389
732,41,48,1605
779,-4,-1,544
775,6,26,1372
780,6,12,1411
836,-1,-4,944
830,6,27,544
779,57,60,719
803,39,84,946
859,-1,-6,2402
862,-1,-18,187
835,26,26,2422
865,-3,-11,2586
894,5,-1,997
912,-6,-18,1620
915,-8,-5,264
899,32,47,594
937,2,35,2227
959,-5,16,762
970,32,25,1068
1020,-5,-22,2586
990,27,22,937
1045,2,3,2446
990,62,123,533
1000,56,46,1074
1065,8,21,950
1079,0,8,463
1080,0,-3,404
1085,-3,-14,292
1020,74,116,872
1085,11,18,479
1120,-6,7,719
1125,-5,-3,2586
1139,-4,-5,762
1140,5,10,2586
1152,-3,2,1990
1144,11,-4,2565
1117,46,54,605
1170,30,75,631
1200,3,-9,1085
990,216,222,708
1225,-4,10,1521
1230,-5,-14,1069
1229,23,-1,2454
1184,72,61,212
1260,-4,5,431
1260,-2,5,725
1260,0,17,544
1268,-6,-12,1608
1285,-3,22,764
1285,3,3,213
1295,5,-14,1598
1290,47,73,1005
1365,22,35,266
1320,83,69,266
1439,-3,-12,1576
360,-1,-1,1085
360,0,25,463
360,5,-44,2565
391,6,6,404
407,-6,-6,301
411,3,8,1065
415,9,26,1182
435,-1,-9,1069
450,-6,-36,2586
456,-4,24,209
466,-1,-11,2565
469,-2,-3,1041
480,-3,-29,1089
479,-2,19,544
490,-4,-15,1623
490,-2,4,760
510,-5,-16,1080
510,-2,9,740
515,-6,1,1389
510,-1,-6,2475
520,-4,38,427
480,39,21,2586
525,14,27,277
540,0,-4,950
550,-6,-1,266
595,-2,-5,264
500,103,85,184
603,1,-2,1605
615,-1,5,529
640,-4,2,944
675,-6,3,479
630,40,21,733
690,-6,8,544
685,1,8,888
695,-5,-23,997
683,11,24,1069
720,-2,1,1183
695,27,10,419
720,39,47,463
780,-6,8,762
775,3,2,1620
785,14,18,1411
721,90,83,246
836,-3,25,944
869,-13,-27,2586
885,-3,-8,544
890,0,-8,425
900,-1,-2,479
898,17,27,594
916,3,5,2454
925,0,-3,213
930,-4,-8,544
930,1,41,1147
935,7,30,1389
903,42,35,1068
960,-8,2,254
960,-4,24,1035
965,14,-5,964
990,-4,-28,2422
990,-1,-18,1626
995,13,-2,541
1012,0,9,1569
1020,-5,-23,2586
1015,0,-35,2475
1020,15,36,290
1049,-6,-20,1969
1045,-1,11,2475
1049,-1,6,1372
1045,9,4,2446
1065,22,28,1023
1115,-10,-30,636
1108,0,9,2434
1042,67,77,169
1070,50,19,2402
1130,-1,-12,888
1120,11,10,719
1140,-7,-19,214
1135,-1,-16,760
1140,37,0,2586
1180,-1,2,1005
1180,6,-16,828
1135,97,88,1182
1199,34,36,427
1239,-5,-20,937
1240,7,-30,2475
1210,40,39,416
1260,0,5,431
1270,3,-31,2248
1259,16,29,642
1117,158,157,605
1280,-4,-9,1626
1340,-5,21,1069
1439,-8,-18,1617
325,-5,10,1400
360,0,2,229
395,-1,20,1389
425,-1,-32,2454
