y,dep_delay,arr_delay,distance
345,-1,-18,1576
360,-6,-25,762
360,-2,-14,2565
390,-6,29,1008
390,-6,10,1020
390,-1,14,733
420,-2,2,2475
425,-6,-6,502
440,-3,10,738
450,-3,7,1605
450,13,3,2422
475,-2,-14,1096
495,-10,-4,479
494,-2,23,946
505,-4,-13,213
503,0,16,1372
507,-2,-7,828
510,0,3,733
515,-4,-18,550
525,-5,-9,509
535,-3,26,711
540,-3,-9,746
543,-1,3,719
546,6,-7,1085
540,21,10,2475
565,4,30,1605
570,1,13,733
575,-2,15,725
585,-9,-12,1047
594,-4,13,872
600,-1,-15,544
599,4,39,2153
630,-6,-11,431
645,-1,1,1400
685,-1,0,1080
690,3,-2,2475
700,-5,-16,1085
719,-6,9,463
720,-5,1,762
725,-8,-3,431
727,-5,4,266
719,3,-8,1608
720,4,12,937
720,5,-2,1400
740,-3,24,719
760,-2,5,738
755,5,0,427
775,0,5,1620
780,-5,-8,184
780,2,-8,1085
797,-2,-10,143
794,2,-3,169
740,77,78,2475
839,-5,-22,187
870,-9,-28,1080
809,59,83,2465
885,-6,-15,213
900,-5,-17,1035
900,-3,-17,1068
900,2,-4,1065
905,1,18,1389
905,8,11,529
930,-4,24,711
933,-6,-21,1074
915,12,44,1400
920,11,19,1605
940,6,5,740
935,33,72,1389
960,8,28,1096
969,-1,-23,944
995,-4,-4,2133
995,-3,23,888
1010,1,-4,2446
945,91,61,1598
1050,-4,4,1089
1065,-1,-4,1010
1085,23,32,419
1103,9,8,284
1080,34,32,733
1125,-5,25,444
1125,-2,-29,187
1135,1,0,760
1125,15,-15,2576
1150,1,-5,431
1160,-4,-7,733
1140,19,18,529
1160,1,-4,2153
1065,105,81,2446
1145,32,25,2475
1170,16,14,628
1200,-3,11,1372
1215,-2,-10,187
1230,1,9,1400
1260,-3,17,719
1280,9,-9,1626
1245,49,28,1065
1305,-9,-14,1065
1365,21,23,264
365,-5,-17,502
389,-4,1,1416
390,-5,8,1372
390,0,-13,185
406,-6,-15,1023
411,-2,-12,937
420,-5,-3,2475
420,-4,6,1069
420,-3,-3,214
420,0,1,733
440,-1,-2,1068
433,10,-3,719
440,9,6,738
463,-2,12,445
475,-1,-4,950
480,-5,6,937
475,3,-18,1096
490,-3,4,1069
505,-10,-12,213
490,7,6,187
500,0,-11,1598
525,-2,5,509
523,1,-11,1605
539,-3,-15,488
543,-2,-29,719
538,12,9,544
545,7,-6,502
548,5,37,1400
384,179,173,319
569,-6,10,1608
560,5,16,427
565,7,2,1605
577,-3,2,301
595,-5,-1,762
630,-6,12,628
636,14,28,1068
660,-7,-25,184
659,12,17,1096
689,-2,-6,1074
720,-4,-3,762
725,0,4,431
729,-3,-17,282
716,10,5,937
740,19,8,169
769,-4,-42,1598
765,4,5,1389
778,-9,-35,2465
777,0,6,1372
810,-2,-20,2465
830,-4,3,544
795,43,30,502
860,-8,-30,719
837,25,39,799
875,-4,6,404
895,-7,45,301
889,3,4,997
900,-4,1,1096
900,24,20,1620
915,14,9,340
929,0,-37,2227
897,33,59,1069
930,5,38,483
945,-5,8,1598
945,-4,6,950
933,16,25,1074
948,3,8,760
885,70,109,1092
953,7,-6,200
975,4,14,502
990,-3,-5,404
996,25,25,1028
1020,3,5,733
1025,2,5,1372
1020,12,-12,1620
1050,-10,0,762
957,91,82,199
915,133,131,212
1054,-2,-2,266
1047,13,15,488
1070,-4,-32,2475
999,75,80,445
1034,67,81,199
1109,2,8,1605
1125,-6,-31,2576
1135,-11,-10,1020
1005,120,158,569
1021,107,136,872
1150,7,32,740
1170,-1,-32,1990
1170,-1,-7,1035
1140,40,31,277
1180,10,-5,1400
1228,12,-5,1585
1260,0,8,544
1235,26,27,1400
1204,104,82,143
1311,65,56,116
360,-10,-3,944
360,-4,13,1023
360,-3,13,1005
394,-6,13,1085
390,1,10,2133
400,-3,-16,187
435,-8,-2,1598
367,68,92,569
465,-3,-36,2586
480,-5,-13,1008
483,-2,13,1134
490,-9,-15,427
485,0,-15,200
515,0,-3,711
530,-7,5,419
520,6,-28,2425
509,21,40,645
539,-6,-9,762
390,144,167,733
569,-1,-8,199
