y,dep_delay,arr_delay,distance
340,2,33,1089
358,-4,12,719
360,-1,31,1389
370,13,5,1096
395,0,48,1389
420,-4,4,733
419,-3,-10,944
425,-9,27,1147
420,1,-31,1608
450,-6,31,1389
455,-3,-1,264
490,-7,-22,187
495,-6,-7,820
510,-1,-23,937
1115,853,851,184
540,-4,6,2475
540,-4,-10,1096
540,0,8,1065
555,-7,-29,96
570,1,-1,1076
577,-4,-5,301
580,-4,-16,1010
615,-6,-10,1020
601,10,5,229
626,2,11,1416
630,7,11,733
650,3,4,1076
659,-3,-6,284
660,-1,-14,185
647,18,23,2565
675,-8,-5,479
689,-2,-4,1023
705,-2,5,2434
749,2,-6,1065
710,71,93,1020
795,-10,3,502
801,9,37,645
836,-2,-4,628
830,8,27,2133
860,4,15,746
880,0,15,502
920,0,1,937
930,4,20,605
920,16,19,738
930,9,-6,2586
950,-7,8,1990
945,2,8,746
910,54,67,544
980,0,23,1400
1020,-7,-13,1076
1020,-6,-14,1521
1015,0,-5,2475
1020,-4,-14,2248
1020,1,16,733
1010,21,14,266
1049,1,-19,2402
1065,6,65,711
1045,31,17,937
1080,0,-6,427
1081,1,-12,2454
1046,37,37,488
1090,-1,-15,2465
1079,12,14,1372
1065,61,52,1389
1140,-7,-14,214
1140,-1,-9,277
1139,24,5,2521
1170,-5,-13,229
1170,-2,-18,427
1145,35,12,200
1180,5,16,828
1205,-8,-26,184
1200,-1,3,1400
1230,-10,-7,397
1245,-15,-35,733
1230,0,10,1182
1240,0,3,828
1250,-4,-28,937
1220,50,55,762
1270,6,-10,160
1315,2,2,944
1200,192,191,199
1439,-6,-24,1598
315,-3,-10,1400
360,-6,11,1076
365,-5,-27,1008
370,-4,5,1020
370,-3,-11,1085
397,-1,17,1504
415,0,-13,2248
420,-1,-26,2475
420,0,2,1096
360,80,90,719
450,2,5,2475
455,-2,4,264
465,-7,-4,733
455,4,2,937
460,0,10,1620
450,14,10,746
480,-9,-3,340
480,-5,-18,1069
485,-6,-18,200
490,-1,2,340
503,-1,31,1372
503,-1,-1,2454
471,36,48,1134
503,11,21,533
471,45,58,1008
525,-1,12,1005
540,-2,-5,746
540,-1,11,404
540,28,29,997
600,-2,23,872
615,-5,14,541
630,8,7,2475
630,13,-6,719
650,-4,-23,1990
555,100,98,944
690,1,-14,2475
720,-1,12,541
705,15,43,872
645,103,102,725
755,-5,-15,488
750,5,4,2133
765,-5,-22,1096
795,3,21,950
805,14,35,1134
825,-4,-17,2475
839,-3,-6,228
835,1,6,273
851,11,19,719
870,0,-8,229
875,7,-4,1020
752,139,136,1065
890,4,34,1107
899,-2,-17,340
900,0,-26,2475
900,13,6,228
918,8,0,944
910,17,26,544
930,-1,-2,1069
940,-4,-1,944
945,5,-8,2446
960,-6,-6,1096
967,-2,23,2133
990,-3,-25,2475
1010,-4,-10,187
1010,13,22,2446
1049,1,-21,2586
1058,-3,-28,2425
1040,17,-2,733
1075,-5,9,725
890,181,166,944
1080,0,-10,427
1090,-5,1,764
1045,48,47,2565
1095,15,13,746
1095,16,-21,2569
1165,-3,-4,950
1170,16,2,541
1200,27,15,340
1230,-3,-5,760
1228,2,17,1504
1182,59,45,282
1255,-7,-11,502
1260,-11,0,719
1240,14,20,937
1260,0,5,2475
1260,7,14,997
1275,0,8,937
1290,-2,10,1005
1205,105,89,184
1309,65,53,284
1439,156,143,1576
340,-5,-15,1089
360,-5,-6,762
360,0,6,404
375,-3,22,760
375,3,-16,1598
393,-4,13,416
390,3,12,185
396,1,19,748
400,-1,17,642
405,-1,-31,1620
420,4,11,1411
430,10,20,719
450,-3,-5,1372
455,-6,7,264
457,5,-35,2586
470,-5,6,340
510,-2,-24,1598
535,-2,16,509
540,-5,-36,2475
540,1,1,733
555,-6,3,944
560,-6,-5,1372
475,102,96,1096
520,70,72,431
600,-1,10,1065
630,-6,-28,2475
630,-6,-5,431
630,-4,-52,2586
640,5,-3,282
650,-4,-4,416
643,5,38,1400
659,0,-47,2565
660,1,-8,214
690,-6,-43,2475
700,2,10,1085
705,4,2,746
715,-4,0,397
720,-8,-24,2475
740,-7,-52,2475
778,15,-31,2465
810,-4,-46,2475
835,-4,-20,273
855,-1,10,746
860,7,11,997
899,-6,-9,340
900,-4,10,529
897,11,25,1028
910,7,12,544
920,-1,-10,738
910,11,20,937
930,-2,-1,544
890,39,49,488
960,-9,-3,589
960,-7,0,1391
970,-5,-61,2248
970,15,7,94
990,-1,-14,502
1010,1,-53,2227
1025,1,-5,213
1019,10,-17,200
1050,-6,-12,529
1049,-4,-19,1089
970,77,59,335
1049,-1,-2,319
1050,1,13,997
1040,14,-8,733
1080,-3,-9,762
930,171,141,2586
1090,13,11,1029
1070,55,64,937
1065,65,28,2586
1140,-4,-26,738
1144,-2,1,277
1150,-5,8,1372
1155,-6,-12,1134
1079,102,67,2133
1180,16,23,1076
1175,39,43,1215
1229,-4,-17,2454
1245,1,1,1400
1285,4,0,200
1278,13,15,160
1305,35,26,1028
1439,26,23,1598
340,6,1,1089
360,-9,-29,502
360,-4,-12,1069
370,-6,-5,1074
370,-4,-18,1020
370,-3,0,1096
375,0,-4,760
390,-2,-31,2153
399,-6,-17,1504
395,1,-51,2565
415,0,-45,2248
420,-3,3,214
419,3,-41,2227
420,3,8,719
420,5,18,1096
430,0,24,719
435,-5,-18,1068
420,21,-13,2475
420,34,38,950
457,-2,-43,2586
469,-5,3,1041
465,-1,-15,719
440,41,40,488
480,2,-19,2133
490,-2,-6,944
450,40,31,1416
490,1,0,187
507,-7,-27,550
515,-5,1,427
520,-4,-20,200
540,-7,-26,719
540,0,-14,4983
560,-3,-12,1372
548,27,14,569
600,-5,-20,762
610,-1,-19,719
625,-5,-19,488
615,14,2,212
660,-3,-8,214
674,2,-13,1620
705,-4,-6,746
715,1,-4,397
737,3,-28,2133
750,32,15,533
788,-2,9,762
825,9,-8,1096
850,-6,-13,419
851,-6,-9,762
804,43,35,1598
875,-6,-16,1035
870,6,-18,2586
899,-8,-26,340
930,-10,-11,292
918,22,32,944
948,-1,-49,1990
920,30,29,738
910,42,41,544
955,-1,-20,509
960,-5,-13,944
960,0,-2,762
985,-4,-2,762
960,27,-5,2425
1015,-3,-10,1521
1020,-2,-6,1411
1050,-2,-3,529
1023,30,29,199
1040,13,2,1005
1065,1,-6,711
1080,-7,-21,187
1065,18,15,1023
1095,-6,-22,288
1085,4,19,185
1135,-3,-4,1598
1140,15,-2,762
