y,dep_delay,arr_delay,distance
360,1,-6,1023
367,0,-17,1085
360,11,14,2586
375,0,-9,746
400,-1,-10,187
405,-2,-11,529
396,8,-9,1065
415,-4,-6,2248
420,9,20,733
435,-4,-15,1598
490,-10,-6,427
485,-4,-19,200
390,101,137,544
503,5,7,2454
515,0,20,1389
540,-3,-14,4983
540,-1,-2,2475
560,0,27,544
545,25,9,997
544,29,42,1069
585,-5,-11,733
599,-6,12,764
561,32,39,2454
600,-4,0,762
610,-7,-25,1065
629,-5,-10,282
635,-5,-17,628
635,-3,15,645
650,-2,12,502
660,-2,-6,214
675,-4,-4,266
540,134,145,1416
685,5,-4,733
700,-3,-6,1035
720,-5,7,2475
720,-2,-4,169
720,-2,7,733
740,-1,0,888
765,-8,-10,187
765,-5,-6,1096
788,-10,-5,762
810,-5,1,760
815,4,23,1047
810,16,26,2133
830,5,22,725
870,0,-9,1416
869,2,5,1035
900,-9,-2,228
895,-3,-2,301
900,-7,-19,214
910,-5,-1,431
915,-4,-3,292
915,-2,5,340
925,-5,-12,213
897,32,46,719
943,0,-2,419
960,3,9,1605
883,84,78,200
975,-5,-35,1069
985,-6,17,762
980,3,3,2153
990,-4,2,509
948,42,67,569
999,-3,-8,200
1000,0,9,502
1025,0,44,1372
960,71,68,1035
1040,-3,10,733
1045,-5,16,2475
1065,-7,-12,1023
1065,-1,10,725
1065,6,4,944
1023,54,51,199
1090,-4,17,764
1095,-7,-19,2402
1085,10,8,185
1110,-6,-2,2422
1109,13,8,1065
1130,0,9,2586
1145,-1,-48,944
1170,5,40,1134
1180,1,-10,1076
1200,-5,-6,340
1170,29,25,1587
1215,2,-3,1069
1204,22,24,725
1170,56,50,1028
1230,0,-7,209
1255,-2,4,502
1260,-2,9,997
1275,-6,-6,937
1349,-12,-26,1598
1375,15,9,301
1370,37,33,209
329,7,12,1416
345,-6,-23,1576
360,-6,-10,1028
360,-5,21,1389
360,-5,-7,502
360,-4,1,229
360,-2,-15,2586
360,0,12,733
360,3,-12,733
359,4,-4,2454
370,-4,1,760
360,11,31,711
400,0,-17,187
406,1,-31,200
420,-5,-4,1035
390,30,37,529
420,2,46,997
420,4,-12,1608
430,-5,-23,719
435,-8,-23,1089
420,34,20,1411
445,25,28,1023
480,-8,-3,594
490,-9,-4,427
510,-5,-23,733
524,-3,1,195
530,-9,-18,419
540,-1,-16,1416
545,8,16,228
505,63,99,541
575,-6,-4,1047
569,0,15,1023
524,56,52,284
562,18,23,1028
540,51,72,416
643,0,4,1023
599,46,73,764
647,1,-44,2565
655,-3,-10,950
660,0,-30,2586
675,-13,5,1096
680,-5,-2,335
670,13,54,1620
705,-2,-32,2434
720,-4,-20,2475
760,-4,-2,738
770,1,-11,1416
783,-6,-15,199
780,0,7,1028
810,-6,-13,760
820,-2,5,937
815,4,3,828
830,-4,-13,2133
825,2,-1,725
855,-5,-14,1096
877,0,0,1041
869,9,11,1035
895,-11,-21,301
897,-5,3,1182
862,34,23,187
900,-4,-13,214
930,-6,3,184
940,2,17,740
929,28,13,1085
901,59,69,463
917,46,81,725
975,-3,16,427
980,-7,18,764
970,14,20,1068
990,2,3,888
1020,-2,0,589
1040,-5,-18,1005
1030,6,38,1521
1065,-1,-5,944
1065,-1,-15,502
947,128,141,282
1065,10,-9,2586
1040,37,43,1085
1015,75,106,1411
1095,3,1,2402
1080,33,44,541
1140,-4,-14,738
1150,-7,13,1372
1145,0,-9,2475
1170,-7,-9,229
1149,31,64,1134
1169,12,12,997
1200,-4,6,762
1200,-2,-22,2475
1195,8,-1,1096
1229,-5,-36,2454
1235,-4,11,1428
1079,164,182,463
1169,82,83,628
1320,69,58,169
360,0,28,762
360,0,-9,733
375,-1,1,431
382,1,3,1023
405,-1,13,950
415,-2,-38,1990
420,-4,-35,2475
419,-2,12,944
420,-2,-47,2475
420,1,-37,2475
441,-1,24,944
465,-3,20,1010
479,-7,-8,762
485,-6,-10,1029
