y,dep_delay,arr_delay,distance
360,-3,-14,229
360,-2,-3,1005
360,0,12,762
370,-8,-8,1020
360,8,32,719
375,0,-21,1598
445,-2,-4,1023
457,-3,-26,2586
450,13,7,2475
475,-3,-18,950
470,2,-4,1620
479,-7,-4,544
480,-2,-1,937
480,3,-12,2586
510,-10,-14,187
505,-2,-5,541
510,-6,2,888
531,0,-4,416
602,-3,-6,1076
615,-4,-21,2248
591,34,-4,937
630,-1,32,2586
617,16,-6,200
640,2,-1,944
675,-2,3,502
690,-3,16,2475
691,-1,3,1020
689,4,3,1074
720,-6,-13,200
720,-6,22,762
718,-1,-5,246
720,3,-26,2586
755,-5,2,488
745,21,36,301
780,-5,4,762
720,55,81,764
809,-2,-5,1065
825,-6,-23,1096
825,-4,4,2475
885,3,4,544
890,-1,11,427
898,-4,-21,284
899,1,3,1076
890,18,26,937
915,6,7,950
930,-8,6,483
860,88,91,1020
960,-6,-33,187
965,-6,-28,2248
947,16,12,282
948,33,34,760
950,35,4,1598
924,64,59,212
981,34,40,143
1029,7,16,719
1030,8,-7,1598
990,70,68,1096
975,88,66,427
1070,-6,-2,937
1040,24,27,1005
1077,8,-2,2434
1100,0,26,2454
1128,7,3,1416
1139,-3,-22,944
1140,25,21,2475
1180,-1,-2,1005
1200,6,2,733
1216,-4,-4,404
1205,10,5,301
1245,7,-2,1074
1260,-4,-6,950
1020,255,250,589
1370,156,154,209
360,-5,0,1005
360,0,4,569
395,-3,0,416
405,2,-27,1620
465,-6,-9,2586
465,7,13,1400
495,-4,4,1620
500,-9,-11,764
495,0,-19,1035
390,107,142,645
485,13,39,541
525,-8,13,1598
525,0,-11,1068
540,-3,-57,2475
539,-1,-10,762
570,-5,-5,1076
593,-1,-6,273
601,-7,-20,229
600,21,10,762
626,1,-11,1416
639,-2,17,1065
635,3,19,645
650,-8,7,502
660,-4,-26,2227
645,12,15,1400
660,1,-14,185
720,0,8,1400
740,-7,6,888
740,-3,-16,719
749,-9,-13,1005
779,-4,-1,544
810,-4,-5,2475
807,5,-14,143
800,21,44,872
824,0,-4,4963
840,2,7,628
899,-7,15,1076
900,-1,40,762
870,33,32,1372
899,8,-1,1005
917,-4,3,997
930,-12,-12,888
905,14,32,1389
920,1,-9,1605
915,19,17,264
950,0,45,740
950,2,-29,2454
960,-3,20,1391
965,-2,27,431
893,76,67,199
969,0,14,944
970,6,-1,1605
1000,-4,22,1389
995,7,4,719
985,19,24,1605
1015,0,-10,585
990,34,70,708
926,104,122,748
1040,7,2,2434
1066,-1,1,950
1040,28,22,431
1020,53,38,1069
989,97,120,416
1110,-2,-26,1029
1109,-1,14,509
1115,-3,-24,184
1113,0,-23,335
1105,10,2,169
1100,28,18,2454
1140,-8,-10,762
1139,-6,-17,762
1148,9,-2,2133
1125,36,40,444
1170,-4,-11,1028
1151,26,7,200
1103,80,68,284
1200,-6,25,647
1195,14,16,711
1260,-6,-6,725
1194,74,59,212
1250,21,7,200
1285,-10,7,764
1270,14,-4,1608
1349,-4,-15,1598
1365,62,61,266
1439,33,22,1598
360,-4,15,762
360,-4,1,96
360,1,0,725
370,-4,0,1096
390,-1,13,544
385,11,13,1416
407,-5,-10,301
425,-2,34,1147
420,7,23,733
450,7,25,1416
480,-4,3,937
469,15,33,1041
479,18,3,209
514,-5,7,605
515,2,-25,2565
520,-1,-20,200
540,-1,-20,1089
544,-3,20,1069
548,1,12,1634
546,5,26,1023
559,-7,-19,187
600,-13,-25,1065
599,-11,-7,228
610,0,-1,719
510,104,97,733
660,0,-18,2586
720,-7,-63,2586
720,-4,-2,764
740,0,13,711
750,-3,-6,529
780,-7,4,569
779,-5,-7,277
775,0,13,1028
779,7,0,544
765,48,60,1389
810,5,-41,2465
830,-4,-9,2133
839,-6,-12,228
840,4,4,762
870,1,6,1372
890,-4,-9,425
876,14,15,199
899,-4,5,1076
905,-2,-8,1620
890,19,18,944
930,0,7,711
928,12,26,284
945,-5,5,746
951,3,-14,200
935,32,41,569
945,32,23,950
975,4,48,1010
925,54,43,213
955,37,58,1010
1000,3,6,1389
1020,-1,-12,733
1030,-3,-15,169
1035,-1,-49,2446
1040,-1,-1,1005
1005,35,12,2475
1030,18,-33,2565
1040,8,7,431
1049,23,-33,2454
1080,-5,-26,733
1100,-1,-42,2454
1115,-5,-36,2465
1135,-5,-2,1005
1139,-3,-45,2521
1139,-1,1,2248
1150,-6,-7,431
1155,-5,-22,2248
1130,24,-33,2586
1160,-1,-56,2153
1139,50,46,944
1175,23,30,425
1115,86,71,184
1205,0,-17,725
1165,40,33,1035
1205,15,17,647
1230,-7,-26,2475
1220,8,18,762
1125,108,105,605
1215,23,30,1069
1200,43,19,1085
1245,-1,-20,733
1250,-4,-10,187
1225,31,67,1521
1267,-5,1,642
1260,14,18,2475
1319,-2,0,284
1375,22,16,301
360,1,-3,719
360,3,5,1389
368,-5,-22,200
390,-10,-5,544
390,7,-16,733
405,3,4,199
420,-3,-13,1096
425,-1,4,1167
440,-8,-23,502
460,-3,-14,2422
479,-3,-27,1372
480,-2,-4,1008
480,-2,-10,1069
479,0,-4,2586
480,0,1,937
505,-1,10,541
509,5,-19,2475
521,-6,-6,820
510,14,25,740
540,-12,-2,502
538,-6,-25,544
540,-6,-16,746
544,0,-6,404
548,6,-9,1634
570,-5,11,264
599,-8,-12,228
600,-7,-20,2586
560,34,33,427
600,0,-22,2402
606,-2,-20,645
591,19,6,746
615,-2,-15,541
640,-1,-8,282
645,-5,-15,963
650,2,-43,2227
660,-7,-22,1096
660,-7,-36,2586
695,-12,-34,419
690,1,1,937
720,-6,-12,937
741,-2,-61,2565
719,39,36,820
795,-5,-2,502
779,19,24,264
815,-10,-2,1047
825,-5,-33,2475
820,1,-9,937
810,12,-7,1389
738,85,81,529
836,10,22,944
892,-5,-20,502
897,-1,13,1028
780,118,105,569
900,-1,-1,284
907,-3,9,529
895,9,13,301
905,0,-12,1620
920,0,-9,228
897,30,-1,2565
885,52,27,1605
929,13,-9,1065
945,3,-8,419
960,-3,11,762
965,-4,-23,765
960,2,-9,1089
960,3,1,642
960,5,-26,2227
1005,-4,-17,488
995,9,-7,404
945,78,51,2475
996,30,20,1028
1040,-3,-23,200
